Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN77_SFERN_PUL164,6.61,0,1.81,2016.13,1.21904,114.47103,39.01919,0.09572,0.11799,15.20024,9.74063,8.94762,0.26175,9636.98202,2104.50792,0.85586,378.32022,352.95092,0.93619,56.4269,1.19252,0.79237,139.10189,19.55573,18.00892,0.87367,1.95838,1.54,114.25382,0.6952 [pulse-like]
RSN77_SFERN_PUL254,6.61,0,1.81,2016.13,1.23832,57.27904,12.80136,0.04715,0.11261,8.74847,2.63969,8.1507,0.24406,3192.30394,1997.00041,0.83321,260.05069,227.90445,0.71306,48.71101,1.08512,0.77147,98.631,18.14933,34.23658,0.57875,1.83948,1.34,56.69073,0.63285 [ambiguous]
RSN143_TABAS_TAB-L1,7.35,1.79,2.05,766.77,0.85398,98.84753,37.53233,0.11799,0.15252,21.20858,13.36722,11.82173,0.34206,14834.5304,3119.28367,0.815,344.23363,328.48682,0.65636,76.37069,0.85753,0.59693,112.60931,21.52621,30.29797,0.81509,3.1144,2.96,143.73157,0.58527 [ambiguous]
RSN143_TABAS_TAB-T1,7.35,1.79,2.05,766.77,0.86176,123.40428,93.6364,0.14597,0.15242,33.20948,27.73501,11.80722,0.34175,36372.63361,3096.66132,0.93667,309.26757,300.32322,0.64529,103.76537,0.90201,0.59892,116.63411,21.0752,24.05995,0.75818,3.09895,3.98,84.05063,0.69568 [pulse-like]
RSN147_COYOTELK_G02050,5.73,8.47,9.02,270.84,0.19082,10.27772,2.92205,0.0549,0.02632,2.12663,0.55741,0.28698,0.02214,121.5439,372.58513,0.18022,45.79956,40.31939,0.14887,9.29375,0.1989,0.14598,16.476,0.56161,36.55616,0.10602,0.22261,1.02,10.10913,0.43902 [non pulse-like]
RSN147_COYOTELK_G02140,5.73,8.47,9.02,270.84,0.25555,31.93287,5.71804,0.12738,0.03516,3.75225,0.87872,0.5115,0.03416,378.10243,408.35769,0.28772,105.78588,93.46313,0.21163,10.41438,0.25627,0.20955,35.51234,0.75745,12.91998,0.23368,0.27638,1.2,31.01292,0.80327 [pulse-like]
RSN148_COYOTELK_G03050,5.73,6.75,7.42,349.85,0.25182,17.63273,4.7159,0.07138,0.03106,3.81385,1.14825,0.39884,0.02835,390.25346,418.99744,0.1935,79.87443,77.03124,0.15522,14.95334,0.25915,0.18761,32.59217,0.64168,23.97105,0.19019,0.28257,1.04,14.10066,0.68349 [pulse-like]
RSN148_COYOTELK_G03140,5.73,6.75,7.42,349.85,0.25637,29.57846,6.33654,0.11761,0.03061,3.69039,0.98867,0.38758,0.02775,365.46587,411.36896,0.21678,101.80128,83.33922,0.19336,8.8108,0.25411,0.18766,32.75365,0.59016,14.02364,0.20603,0.2575,1.08,27.53644,0.78358 [pulse-like]
RSN149_COYOTELK_G04270,5.73,4.79,5.7,221.78,0.23291,25.79086,3.56682,0.11288,0.03858,3.87951,0.99253,0.62341,0.03951,409.07464,568.4282,0.22316,85.72039,70.7996,0.19647,15.41778,0.23337,0.18284,37.61801,0.688,22.18948,0.16879,0.43186,0.98,24.6977,0.52372 [non pulse-like]
RSN149_COYOTELK_G04360,5.73,4.79,5.7,221.78,0.25167,31.83518,5.24314,0.12895,0.03459,4.18434,1.00039,0.50149,0.03355,476.32443,540.89989,0.22693,97.86515,88.86972,0.13759,9.99999,0.25074,0.19026,48.37125,0.55036,17.08231,0.21241,0.39006,1.12,23.23727,0.71151 [pulse-like]
RSN150_COYOTELK_G06230,5.73,0.42,3.11,663.31,0.42178,44.34843,12.44406,0.10718,0.04309,5.30757,1.55988,0.77491,0.04655,763.1323,432.98474,0.25695,157.86229,137.64354,0.19261,10.58639,0.41665,0.34206,71.32936,0.86188,9.89265,0.32824,0.32692,0.92,43.03474,0.88185 [pulse-like]
RSN150_COYOTELK_G06320,5.73,0.42,3.11,663.31,0.31884,25.39576,4.38051,0.08119,0.0403,3.08992,0.6173,0.67831,0.04212,258.73976,414.75181,0.38521,87.95782,74.89555,0.27389,16.37597,0.31333,0.25603,34.40182,1.07362,16.56138,0.18671,0.31284,1.4,13.09495,0.63796 [ambiguous]
RSN159_IMPVALL.H_H-AGR003,6.53,0,0.65,242.05,0.28726,34.93556,9.36137,0.12397,0.0469,5.87659,2.00001,0.96366,0.05416,981.81062,824.75139,0.17512,128.1854,123.21279,0.20058,15.61568,0.26958,0.17436,45.24065,2.69825,22.63224,0.29304,0.71476,2.04,30.06503,0.76710 [pulse-like]
RSN159_IMPVALL.H_H-AGR273,6.53,0,0.65,242.05,0.19134,41.67998,11.60605,0.22205,0.04221,6.69439,2.35473,0.78047,0.04624,1274.08809,732.17086,0.15277,151.97125,144.85943,0.17685,19.15122,0.19094,0.13777,52.92906,1.44983,17.21667,0.3195,0.61554,1.82,36.12828,0.77896 [pulse-like]
RSN161_IMPVALL.H_H-BRA225,6.53,8.54,10.42,208.71,0.16261,36.60738,25.67789,0.22949,0.02308,7.7736,6.64433,0.31088,0.02158,2288.74089,503.16095,0.1321,76.23902,89.05725,0.13843,26.83055,0.16719,0.11155,48.07763,0.47669,13.83716,0.19511,0.28127,3.9,36.24876,0.78118 [pulse-like]
RSN161_IMPVALL.H_H-BRA315,6.53,8.54,10.42,208.71,0.21952,40.93847,16.24961,0.1901,0.02773,5.79809,4.95879,0.44884,0.02842,1273.10746,544.79969,0.20398,96.73038,96.13416,0.19023,12.76832,0.22217,0.16574,50.2275,0.64789,13.43004,0.23461,0.33103,2.9,39.43452,0.65511 [pulse-like]
RSN170_IMPVALL.H_H-ECC002,6.53,7.31,7.31,192.05,0.21204,38.43942,16.99015,0.1848,0.03502,7.7394,5.45629,0.75563,0.04144,2395.63336,716.39221,0.19709,144.73419,142.57426,0.18204,27.24245,0.20901,0.15479,65.68032,0.70711,18.77093,0.32223,0.52223,1.36,37.40625,0.48074 [non pulse-like]
RSN170_IMPVALL.H_H-ECC092,6.53,7.31,7.31,192.05,0.23542,73.38541,48.00651,0.31775,0.03465,11.8723,10.72879,0.74011,0.0408,5637.35494,733.88508,0.16636,145.16557,154.0207,0.16484,30.82911,0.23013,0.16739,62.7713,0.46165,10.06232,0.33774,0.51149,3.96,64.92338,0.81077 [pulse-like]
RSN171_IMPVALL.H_H-EMO000,6.53,0.07,0.07,264.57,0.3172,72.94515,34.92213,0.23442,0.03751,8.93232,6.92738,0.86703,0.04594,3191.05479,669.7322,0.21557,174.21816,177.92051,0.23475,26.1335,0.31306,0.23061,73.47643,0.52863,9.26429,0.40304,0.46735,3.1,59.71021,0.83367 [pulse-like]
RSN171_IMPVALL.H_H-EMO270,6.53,0.07,0.07,264.57,0.29758,92.61452,34.50472,0.31725,0.04233,14.4505,7.37793,1.10429,0.05508,8351.63313,765.63503,0.225,222.84013,246.48479,0.17975,38.96093,0.29929,0.24819,144.52886,0.39711,8.33394,0.4957,0.55965,3.08,63.79905,0.88984 [pulse-like]
RSN173_IMPVALL.H_H-E10050,6.53,8.6,8.6,202.85,0.17314,50.69032,35.39345,0.29844,0.03201,10.84157,9.29623,0.58514,0.03487,4354.84268,686.852,0.18026,102.68385,107.24304,0.15161,31.06229,0.17359,0.13072,80.03609,0.64994,13.61749,0.23991,0.49841,3.98,57.82485,0.76784 [pulse-like]
RSN173_IMPVALL.H_H-E10320,6.53,8.6,8.6,202.85,0.23163,46.37725,28.78161,0.2041,0.03507,8.39478,7.05992,0.70139,0.03995,2608.17921,716.71399,0.19349,149.05845,149.7999,0.1805,34.16581,0.23082,0.17071,73.71403,0.81529,15.51924,0.32484,0.51408,1.52,55.40493,0.65051 [pulse-like]
RSN178_IMPVALL.H_H-E03140,6.53,10.79,12.85,162.94,0.26739,47.97359,20.74382,0.18289,0.04344,8.01356,6.11016,1.15162,0.05698,2543.64344,901.2497,0.28299,152.19376,147.30775,0.25608,27.71376,0.26734,0.20429,50.73214,1.87007,18.84924,0.35025,0.67607,3.1,47.61702,0.72962 [pulse-like]
RSN178_IMPVALL.H_H-E03230,6.53,10.79,12.85,162.94,0.22252,43.29137,25.53025,0.19832,0.03388,7.77503,7.41584,0.70086,0.03925,2395.37552,730.76678,0.20324,62.20129,65.52747,0.17309,37.13145,0.22225,0.14597,26.35389,1.5395,16.96114,0.16752,0.53712,3.98,33.22678,0.81913 [pulse-like]
RSN179_IMPVALL.H_H-E04140,6.53,4.9,7.05,208.91,0.48431,39.64482,25.13682,0.08344,0.04743,8.59912,8.70257,1.35505,0.06458,2890.13481,838.75233,0.36299,188.50837,178.15952,0.27115,33.40902,0.48856,0.38357,68.13017,1.67263,21.21946,0.43836,0.63079,2.02,35.03448,0.50714 [non pulse-like]
RSN179_IMPVALL.H_H-E04230,6.53,4.9,7.05,208.91,0.37043,80.41472,74.268,0.22129,0.04018,16.76137,14.99676,0.97219,0.05035,10980.67346,777.43234,0.24697,149.68034,183.32393,0.25311,62.3896,0.36009,0.25856,125.09294,0.92962,9.69742,0.41401,0.56858,3.98,78.38602,0.92494 [pulse-like]
RSN180_IMPVALL.H_H-E05140,6.53,1.76,3.95,205.63,0.52867,48.9108,48.88193,0.09431,0.05284,12.56021,13.16322,1.69419,0.07622,6210.96684,966.40777,0.42483,179.27719,168.49393,0.29982,46.60537,0.55479,0.34681,52.10289,2.45261,19.78874,0.42268,0.77401,2.76,66.96625,0.56908 [ambiguous]
RSN180_IMPVALL.H_H-E05230,6.53,1.76,3.95,205.63,0.38315,96.9024,75.22147,0.25781,0.0532,18.57531,14.93712,1.71736,0.077,13586.0394,1006.87288,0.40422,188.43377,217.64888,0.34662,74.76977,0.36901,0.28813,147.75575,2.06311,10.40455,0.50066,0.80334,3.84,97.94979,0.91276 [pulse-like]
RSN181_IMPVALL.H_H-E06140,6.53,0,1.35,203.22,0.44729,67.01932,27.89589,0.15274,0.05059,11.43455,6.49786,1.54103,0.07113,5109.67063,980.28326,0.27626,200.69433,207.53563,0.30297,43.73152,0.35787,0.263,62.42643,2.91677,14.63481,0.4819,0.7846,2.94,62.2551,0.84975 [pulse-like]
RSN181_IMPVALL.H_H-E06230,6.53,0,1.35,203.22,0.44904,113.55358,72.88818,0.25778,0.05524,20.38239,15.16894,1.83804,0.08118,16237.54308,1048.5593,0.31455,180.38219,222.56132,0.28954,93.6636,0.4385,0.304,135.43051,2.70088,9.2445,0.50358,0.87498,3.96,107.14924,0.95302 [pulse-like]
RSN182_IMPVALL.H_H-E07140,6.53,0.56,0.56,210.51,0.34081,51.68064,27.99527,0.15458,0.03914,9.8607,8.29424,0.87025,0.04702,3584.50753,646.8826,0.2105,180.53004,173.46871,0.21438,44.8451,0.33745,0.2764,67.53739,0.62587,12.60583,0.39448,0.46241,2.76,61.65655,0.71082 [pulse-like]
RSN182_IMPVALL.H_H-E07230,6.53,0.56,0.56,210.51,0.46909,113.13938,46.94397,0.24586,0.05518,17.3007,11.53468,1.72997,0.07871,11034.22051,809.11749,0.31653,244.16386,267.97219,0.22358,56.03035,0.4607,0.40295,111.79684,0.87856,7.19366,0.6007,0.63547,3.48,77.31215,0.89772 [pulse-like]
RSN184_IMPVALL.H_H-EDA270,6.53,5.09,5.09,202.26,0.35262,75.57666,57.15234,0.21848,0.05399,12.40451,12.06077,1.75168,0.07834,6000.23478,998.78374,0.3524,152.72683,147.4352,0.32778,45.56986,0.34643,0.26411,63.10353,3.79047,13.23498,0.3577,0.80223,3.98,61.74908,0.84427 [pulse-like]
RSN184_IMPVALL.H_H-EDA360,6.53,5.09,5.09,202.26,0.48135,40.94429,16.37471,0.08671,0.05943,8.13362,5.03736,2.12764,0.09059,2586.02809,1008.55468,0.43402,203.91034,188.52587,0.3988,35.86433,0.48342,0.36439,59.54711,3.55048,24.71695,0.45662,0.83113,1.4,30.0828,0.59843 [ambiguous]
RSN185_IMPVALL.H_H-HVP225,6.53,5.35,7.5,202.89,0.25815,53.13623,39.14822,0.20982,0.03895,10.07482,9.22341,0.88513,0.0473,3842.86553,798.24664,0.23938,98.87414,109.16547,0.20733,47.88256,0.2537,0.16625,60.50731,1.24311,15.09576,0.26532,0.61537,3.98,47.90308,0.87158 [pulse-like]
RSN185_IMPVALL.H_H-HVP315,6.53,5.35,7.5,202.89,0.22145,51.4598,35.83118,0.23688,0.03838,10.00186,9.08951,0.85957,0.04627,3788.91277,782.9193,0.24678,101.96674,112.59101,0.18424,27.55986,0.2154,0.15834,28.89216,1.3492,15.28666,0.26923,0.60004,3.98,51.505,0.79688 [pulse-like]
RSN285_ITALY_A-BAG000,6.9,8.14,8.18,649.67,0.12965,23.60446,13.13175,0.18559,0.02415,4.2846,3.04895,0.33142,0.02279,676.703,524.88741,0.11432,81.19356,80.65012,0.12556,13.83442,0.13199,0.10359,34.88792,0.57045,22.45746,0.18726,0.30174,1.28,23.4646,0.51456 [non pulse-like]
RSN285_ITALY_A-BAG270,6.9,8.14,8.18,649.67,0.18975,34.70761,13.74649,0.18646,0.02741,5.55796,2.58732,0.42689,0.02756,1138.69979,568.20361,0.12813,123.18218,120.13418,0.1486,20.38433,0.1847,0.12865,47.60107,0.44288,16.5093,0.26425,0.34916,2.22,32.9062,0.70314 [pulse-like]
RSN292_ITALY_A-STU000,6.9,6.78,10.84,382,0.22666,36.98175,13.12082,0.16632,0.04419,7.08178,3.32522,1.18373,0.05826,1972.88615,1027.38801,0.26235,132.15338,130.68515,0.21425,28.38129,0.22613,0.17113,58.10713,1.5147,27.90175,0.30746,0.82448,2.98,19.82781,0.66312 [pulse-like]
RSN292_ITALY_A-STU270,6.9,6.78,10.84,382,0.32052,71.95585,29.3254,0.22884,0.04795,11.02206,6.57361,1.39347,0.06585,4779.05311,1054.20388,0.34039,161.86375,172.28661,0.28239,43.89568,0.31762,0.2234,66.54294,1.80447,14.71161,0.40159,0.84955,3.06,55.74646,0.87051 [pulse-like]
RSN316_WESMORL_PTS225,5.9,16.54,16.66,348.69,0.23208,55.58173,37.09746,0.24413,0.03327,9.2171,10.14615,0.71103,0.03918,3541.77318,804.93917,0.20673,119.16125,124.24185,0.16653,41.47266,0.22816,0.14482,63.60143,0.75628,14.56482,0.28352,0.56789,3.98,47.85695,0.86477 [pulse-like]
RSN316_WESMORL_PTS315,5.9,16.54,16.66,348.69,0.14886,32.70773,21.86782,0.22398,0.02767,5.94224,5.03854,0.49172,0.02971,1472.08341,677.48767,0.16413,96.89427,101.89117,0.14169,24.91671,0.14905,0.11938,57.6245,0.52424,20.87998,0.23586,0.44112,3.98,32.5855,0.72745 [pulse-like]
RSN451_MORGAN_CYC195,5.9,0.18,0.53,561.43,0.71338,52.90326,12.75594,0.07559,0.07906,6.66291,2.11483,2.88881,0.12175,1331.38662,934.45028,0.60389,199.76155,159.76043,0.5471,31.12626,0.66373,0.50151,72.926,6.00506,17.69434,0.38303,0.8212,0.72,84.72244,0.68292 [pulse-like]
RSN451_MORGAN_CYC285,5.9,0.18,0.53,561.43,1.30291,78.44458,14.56081,0.06137,0.09133,9.23121,2.74006,3.85456,0.15115,2555.60696,1047.66968,0.67224,295.86817,240.48661,0.48362,39.15324,1.24445,1.00846,132.9412,5.58755,13.3844,0.57652,0.92014,0.82,70.92087,0.87109 [pulse-like]
RSN459_MORGAN_G06000,5.9,9.85,9.87,663.31,0.22289,11.19836,2.13972,0.05121,0.02874,2.02121,0.55561,0.38181,0.02669,122.51744,367.80125,0.20677,48.71529,40.43783,0.201,8.88138,0.22163,0.17341,20.1729,0.84925,33.4562,0.09661,0.2565,0.76,14.79654,0.57436 [ambiguous]
RSN459_MORGAN_G06090,5.9,9.85,9.87,663.31,0.29226,36.49285,5.9458,0.12728,0.04348,5.08674,1.06659,0.87381,0.04966,775.98957,605.7096,0.29162,150.62289,128.64404,0.2202,19.34733,0.29243,0.2189,59.77067,1.08331,16.74111,0.29097,0.48446,1.16,34.41652,0.80668 [pulse-like]
RSN566_GREECE_K-KAL-NS,5.4,4,5.6,382.21,0.16137,12.79106,1.31041,0.0808,0.02121,1.71177,0.26412,0.10536,0.01204,44.51498,150.01374,0.14544,37.72994,31.36816,0.09095,5.98091,0.161,0.1341,18.77946,0.14309,12.00686,0.07678,0,0.56,13.02914,0.75696 [pulse-like]
RSN566_GREECE_K-KAL-WE,5.4,4,5.6,382.21,0.26281,24.5829,3.77183,0.09535,0.03547,3.36615,0.61278,0.29475,0.02605,172.30355,214.22678,0.22333,79.93928,58.67903,0.14729,9.53939,0.26308,0.23022,42.16213,0.30768,8.84532,0.13382,0,0.7,36.23773,0.87666 [pulse-like]
RSN568_SANSALV_GIC090,5.8,2.14,6.3,489.34,0.70423,79.92414,12.58657,0.11569,0.1335,15.73891,3.84891,2.48531,0.14673,2241.80532,720.47335,0.59361,246.86098,222.92344,0.48306,28.97388,0.6851,0.52606,91.64946,2.78271,9.00636,0.56231,0.70386,2.02,145.13967,0.73016 [pulse-like]
RSN568_SANSALV_GIC180,5.8,2.14,6.3,489.34,0.42083,62.28981,13.08726,0.15088,0.11025,14.45907,3.64578,1.68955,0.10995,1885.76316,582.13891,0.38065,214.23196,205.41589,0.3384,42.05846,0.42176,0.35392,104.34991,1.3566,9.3415,0.48096,0.54301,0.72,77.06071,0.63785 [ambiguous]
RSN569_SANSALV_NGI180,5.8,3.71,6.99,455.93,0.40397,56.3795,19.6391,0.14227,0.05916,10.74882,3.55845,1.09285,0.06477,2341.36029,585.50321,0.26404,220.59763,214.59677,0.24079,32.98237,0.40242,0.32358,93.25231,0.64069,10.41908,0.48952,0.48841,2.2,45.71791,0.77666 [pulse-like]
RSN569_SANSALV_NGI270,5.8,3.71,6.99,455.93,0.53443,72.99353,11.37884,0.13923,0.08486,9.82734,1.78254,2.24763,0.11125,1956.16112,789.06359,0.43701,239.17567,198.14372,0.49684,29.11071,0.53601,0.46068,115.70197,1.61791,10.82954,0.42991,0.68791,0.84,64.27125,0.84647 [pulse-like]
RSN722_SUPER.B_B-KRN270,6.54,18.48,18.48,266.01,0.11387,18.26116,8.08645,0.16347,0.02997,4.92524,1.84748,0.30507,0.02436,534.64612,470.94265,0.10176,80.43598,79.9321,0.10426,15.80251,0.11095,0.0813,32.28662,0.38721,25.67324,0.17948,0.35578,2.12,20.81063,0.68353 [pulse-like]
RSN722_SUPER.B_B-KRN360,6.54,18.48,18.48,266.01,0.139,29.60652,7.93445,0.21712,0.02979,4.99828,1.8084,0.30054,0.02411,548.87246,434.80723,0.10408,99.8381,94.6039,0.08995,10.65155,0.13878,0.10342,47.06806,0.3025,14.66324,0.20679,0.31437,2.12,49.16544,0.81464 [pulse-like]
RSN723_SUPER.B_B-PTS225,6.54,0.95,0.95,348.69,0.43182,134.28867,46.17529,0.31701,0.10424,25.13901,14.49082,3.74086,0.15908,14118.20624,1522.47749,0.32584,407.35854,411.31006,0.38862,51.68491,0.42983,0.31523,176.59239,2.95275,11.30833,0.83361,1.48332,2.4,131.32121,0.82112 [pulse-like]
RSN723_SUPER.B_B-PTS315,6.54,0.95,0.95,348.69,0.38427,53.05786,17.81619,0.14075,0.07039,11.20014,5.41981,1.7025,0.08819,2797.38065,1013.32863,0.30912,173.98351,167.31978,0.35032,27.64539,0.36728,0.26937,67.83763,2.40971,19.02922,0.39833,0.95444,2.88,32.27682,0.64298 [ambiguous]
RSN764_LOMAP_GOF160,6.93,10.27,10.97,308.55,0.28527,43.39235,9.8592,0.15506,0.0342,5.251,1.47592,0.72069,0.03999,1102.64257,630.58794,0.26046,151.99464,145.09102,0.16765,25.16823,0.28582,0.22251,79.05425,0.61733,14.69327,0.33364,0.45269,1.44,36.14812,0.81108 [pulse-like]
RSN764_LOMAP_GOF250,6.93,10.27,10.97,308.55,0.24194,23.73824,3.81129,0.10001,0.02845,3.31109,1.02649,0.49864,0.03034,438.42256,573.53096,0.20072,93.38177,80.42911,0.18126,14.39565,0.24166,0.1771,28.83941,0.57054,24.46379,0.19593,0.38454,1.32,15.045,0.62110 [ambiguous]
RSN766_LOMAP_G02000,6.93,10.38,11.07,270.84,0.36973,34.75738,9.50966,0.09583,0.04424,4.87093,1.92036,1.20573,0.05883,948.68423,820.97877,0.35621,139.66316,120.9317,0.27829,21.52616,0.3667,0.25733,51.53366,1.5222,23.75685,0.29522,0.62125,1.54,18.06121,0.55911 [ambiguous]
RSN766_LOMAP_G02090,6.93,10.38,11.07,270.84,0.32272,40.37111,18.45622,0.12752,0.04468,6.82697,3.30275,1.23021,0.05973,1863.60318,853.71566,0.34155,202.30253,185.11913,0.25602,38.47009,0.32004,0.25172,61.58665,1.38093,21.24763,0.42051,0.66286,1.48,31.59807,0.83406 [pulse-like]
RSN767_LOMAP_G03000,6.93,12.23,12.82,349.85,0.55912,36.30584,10.84084,0.06619,0.05831,4.88236,2.44063,2.09493,0.08904,953.02028,1000.34403,0.55948,116.88568,95.64765,0.45878,22.05745,0.53944,0.40816,53.71697,4.40333,27.64714,0.23944,0.79365,3.98,15.63262,0.41737 [non pulse-like]
RSN767_LOMAP_G03090,6.93,12.23,12.82,349.85,0.36823,45.42681,24.1052,0.12576,0.04697,6.97595,4.16034,1.35941,0.06437,1945.82449,940.9559,0.34017,170.97283,166.24513,0.30145,34.7685,0.36449,0.26291,46.54074,2.42398,20.75201,0.40348,0.75065,2.24,43.64756,0.76584 [pulse-like]
RSN802_LOMAP_STG000,6.93,7.58,8.5,380.89,0.51446,41.57918,16.32656,0.08239,0.0487,7.27214,3.37789,1.46159,0.06797,2114.82968,915.62574,0.30369,192.0963,176.6331,0.30789,28.72009,0.51181,0.35703,59.1514,2.52394,22.10592,0.43132,0.71649,1.8,40.97426,0.62319 [ambiguous]
RSN802_LOMAP_STG090,6.93,7.58,8.5,380.89,0.32623,45.97287,33.33028,0.14365,0.04224,9.02949,7.91982,1.0995,0.0549,3260.45576,812.93767,0.29499,117.67471,111.54538,0.2609,39.69241,0.32608,0.23391,38.50082,1.93924,17.76149,0.27975,0.61487,3.98,36.77809,0.78443 [pulse-like]
RSN803_LOMAP_WVC000,6.93,8.48,9.31,347.9,0.2575,42.06344,24.26897,0.16652,0.04203,7.94827,4.83967,1.08828,0.05448,2526.0493,894.35484,0.24701,175.97246,167.98146,0.22878,30.31639,0.25461,0.18308,67.43062,1.04299,21.36203,0.37971,0.69267,2.16,63.85445,0.63369 [ambiguous]
RSN803_LOMAP_WVC270,6.93,8.48,9.31,347.9,0.33123,64.9141,37.85229,0.19978,0.04511,12.54347,10.20048,1.25388,0.06059,6291.18976,893.49436,0.24026,193.506,182.14029,0.2513,46.59478,0.32995,0.23848,68.59595,0.96625,13.84687,0.41251,0.68885,3.98,49.24419,0.71250 [pulse-like]
